PIDB_ID,State,County,FIPS,PointTypeGeneral,PointType,Trinomial,DINAA_URI,RawMaterialGeneral,RawMaterialSimple,MaxLength,MLIncomplete,MaxWidth,MWIncomplete,HeightMaxWidth,BasalWidth,BWIncomplete,DepthBasalConcavity,DBCIncomplete,MaxThickness,MTIncomplete,Reworked,ReferenceID,Title,YearPublished,PublishedSource,SurveyNumber,STATE_FIPS,CNTY_FIPS,Lat_CountyCentroid,Long_CountyCentroid,Latitude,Longitude
1,Alabama,Limestone,01083,Clovis,CLOVIS,,,"Chert, fossiliferous unidentified",Other,74,FALSE,25,FALSE,,20,FALSE,2,FALSE,6,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",1,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
2,Alabama,Limestone,01083,Clovis,CLOVIS,1LI137,http://opencontext.org/subjects/A0340262-BA82-41CE-E4E5-DDAE396FE990,Bangor chert,Other,94,FALSE,40,FALSE,,25,FALSE,8,FALSE,8,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",2,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
3,Alabama,Colbert,01033,Quad_BeaverLake,QUAD,,,Fort Payne chert,Fort Payne chert,49,FALSE,27,FALSE,,27,FALSE,4,FALSE,7,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",3,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
4,Alabama,Lauderdale,01077,Quad_BeaverLake,QUAD,,,Fort Payne chert,Fort Payne chert,72,TRUE,28,FALSE,,28,FALSE,6,FALSE,7,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",4,01,077,34.90153154,-87.654434,34.90153154,-87.654434
5,Alabama,Lauderdale,01077,Quad_BeaverLake,BEAVER LAKE,,,Fort Payne chert,Fort Payne chert,58,TRUE,27,FALSE,,27,FALSE,2,FALSE,9,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",5,01,077,34.90153154,-87.654434,34.90153154,-87.654434
6,Alabama,Covington,01039,Clovis,CLOVIS,,,Fort Payne chert,Fort Payne chert,84,FALSE,31,FALSE,,31,FALSE,7,FALSE,8,FALSE,LATERAL,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",6,01,039,31.2485158,-86.45123604,31.2485158,-86.45123604
7,Alabama,Madison,01089,Clovis,CLOVIS,1MA355,http://opencontext.org/subjects/DED25486-3E41-4426-7E02-939F11C0812C,"Chalcedony, unidentified",Other,106,FALSE,42,FALSE,,27,TRUE,3,TRUE,10,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",7,01,089,34.76309835,-86.55021146,34.76309835,-86.55021146
8,Alabama,Lauderdale,01077,Quad_BeaverLake,QUAD,,,Fort Payne chert,Fort Payne chert,57,FALSE,32,FALSE,,32,FALSE,7,FALSE,7,FALSE,DISTAL,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",8,01,077,34.90153154,-87.654434,34.90153154,-87.654434
9,Alabama,Colbert,01033,Clovis,CLOVIS,,,Fort Payne chert,Fort Payne chert,55,FALSE,26,FALSE,,26,FALSE,6,FALSE,5,FALSE,DISTAL,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",9,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
10,Alabama,Lauderdale,01077,Quad_BeaverLake,BEAVER LAKE,,,Fort Payne chert,Fort Payne chert,86,FALSE,21,FALSE,,25,FALSE,,FALSE,8,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",10,01,077,34.90153154,-87.654434,34.90153154,-87.654434
11,Alabama,Lauderdale,01077,,SCOTTSBLUFF,,,"Chert, unidentified",Other,66,FALSE,21,FALSE,,12,FALSE,0,FALSE,6,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",11,01,077,34.90153154,-87.654434,34.90153154,-87.654434
12,Alabama,Colbert,01033,Clovis,CLOVIS,,,"Chert, unidentified",Other,86,TRUE,32,FALSE,,21,FALSE,2,FALSE,8,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",12,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
13,Alabama,Lauderdale,01077,Clovis,CLOVIS,,,Bangor chert,Other,96,TRUE,35,FALSE,,32,FALSE,7,FALSE,8,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",13,01,077,34.90153154,-87.654434,34.90153154,-87.654434
